"year","borough","neighborhood","hiv_rate"
2016,"Bronx","Crotona - Tremont",42.8266666666667
2016,"Bronx","Fordham - Bronx Park",35.28
2016,"Bronx","High Bridge - Morrisania",42.46
2016,"Bronx","Hunts Point - Mott Haven",73.6
2016,"Bronx","Kingsbridge - Riverdale",20.1
2016,"Bronx","Northeast Bronx",12.9333333333333
2016,"Bronx","Pelham - Throgs Neck",34.48
2016,"Brooklyn","Bedford Stuyvesant - Crown Heights",62.1266666666667
2016,"Brooklyn","Bensonhurst - Bay Ridge",15.8066666666667
2016,"Brooklyn","Borough Park",10.4266666666667
2016,"Brooklyn","Canarsie - Flatlands",11.84
2016,"Brooklyn","Coney Island - Sheepshead Bay",15.2333333333333
2016,"Brooklyn","Downtown - Heights - Park Slope",16.8266666666667
2016,"Brooklyn","East Flatbush - Flatbush",27.6266666666667
2016,"Brooklyn","East New York",45.6266666666667
2016,"Brooklyn","Greenpoint",14.24
2016,"Brooklyn","Sunset Park",38.3333333333333
2016,"Brooklyn","Williamsburg - Bushwick",31.3733333333333
2016,"Manhattan","Central Harlem - Morningside Heights",48.0666666666667
2016,"Manhattan","Chelsea - Clinton",68.6266666666667
2016,"Manhattan","East Harlem",55.62
2016,"Manhattan","Gramercy Park - Murray Hill",28.0733333333333
2016,"Manhattan","Greenwich Village - SoHo",83.2466666666667
2016,"Manhattan","Lower Manhattan",27.2
2016,"Manhattan","Union Square - Lower East Side",29.1866666666667
2016,"Manhattan","Upper East Side",23.0333333333333
2016,"Manhattan","Upper West Side",14.4066666666667
2016,"Manhattan","Washington Heights - Inwood",28.0733333333333
2016,"Queens","Bayside - Little Neck",2.53333333333333
2016,"Queens","Flushing - Clearview",22.04
2016,"Queens","Fresh Meadows",7.27333333333333
2016,"Queens","Jamaica",13.8333333333333
2016,"Queens","Long Island City - Astoria",28.86
2016,"Queens","Ridgewood - Forest Hills",39.04
2016,"Queens","Rockaway",10.4666666666667
2016,"Queens","Southeast Queens",14.1933333333333
2016,"Queens","Southwest Queens",16.16
2016,"Queens","West Queens",25.6
2016,"Staten
Island","Port Richmond",32.35
2016,"Staten
Island","South Beach - Tottenville",75.9933333333333
2016,"Staten
Island","Stapleton - St. George",22.0266666666667
2016,"Staten
Island","Willowbrook",52.0933333333333
2017,"Bronx","Crotona - Tremont",52.7933333333333
2017,"Bronx","Fordham - Bronx Park",27.2066666666667
2017,"Bronx","High Bridge - Morrisania",37.9133333333333
2017,"Bronx","Hunts Point - Mott Haven",36.0666666666667
2017,"Bronx","Kingsbridge - Riverdale",13.32
2017,"Bronx","Northeast Bronx",16.1666666666667
2017,"Bronx","Pelham - Throgs Neck",20.5
2017,"Brooklyn","Bedford Stuyvesant - Crown Heights",51.58
2017,"Brooklyn","Bensonhurst - Bay Ridge",27.4
2017,"Brooklyn","Borough Park",13.4666666666667
2017,"Brooklyn","Canarsie - Flatlands",11.0533333333333
2017,"Brooklyn","Coney Island - Sheepshead Bay",19.1066666666667
2017,"Brooklyn","Downtown - Heights - Park Slope",24.8733333333333
2017,"Brooklyn","East Flatbush - Flatbush",27.0733333333333
2017,"Brooklyn","East New York",45.88
2017,"Brooklyn","Greenpoint",31.8133333333333
2017,"Brooklyn","Sunset Park",73.9133333333333
2017,"Brooklyn","Williamsburg - Bushwick",35.1866666666667
2017,"Manhattan","Central Harlem - Morningside Heights",36.9533333333333
2017,"Manhattan","Chelsea - Clinton",67.3533333333333
2017,"Manhattan","East Harlem",49.5333333333333
2017,"Manhattan","Gramercy Park - Murray Hill",28.0466666666667
2017,"Manhattan","Greenwich Village - SoHo",66.9066666666667
2017,"Manhattan","Lower Manhattan",58.8466666666667
2017,"Manhattan","Union Square - Lower East Side",26.14
2017,"Manhattan","Upper East Side",15.6533333333333
2017,"Manhattan","Upper West Side",14.5266666666667
2017,"Manhattan","Washington Heights - Inwood",49.1866666666667
2017,"Queens","Bayside - Little Neck",14.1666666666667
2017,"Queens","Flushing - Clearview",19.5933333333333
2017,"Queens","Fresh Meadows",11.0933333333333
2017,"Queens","Jamaica",22.0066666666667
2017,"Queens","Long Island City - Astoria",40.8266666666667
2017,"Queens","Ridgewood - Forest Hills",10.22
2017,"Queens","Rockaway",14.48
2017,"Queens","Southeast Queens",12.6266666666667
2017,"Queens","Southwest Queens",20.1
2017,"Queens","West Queens",21.6
2017,"Staten
Island","Port Richmond",17.6266666666667
2017,"Staten
Island","South Beach - Tottenville",1.58
2017,"Staten
Island","Stapleton - St. George",26.8666666666667
2017,"Staten
Island","Willowbrook",25.2933333333333
2018,"Bronx","Crotona - Tremont",23.2133333333333
2018,"Bronx","Fordham - Bronx Park",29.7133333333333
2018,"Bronx","High Bridge - Morrisania",40.22
